pop_total,zip code tabulation area,pop_white,pop_black,pop_hispanic
147.0,44439,147.0,0.0,0.0
29.0,44493,29.0,0.0,0.0
178.0,44607,92.0,0.0,0.0
32.0,44652,32.0,0.0,0.0
275.0,44687,275.0,0.0,0.0
6944.0,44201,6694.0,20.0,85.0
0.0,44881,0.0,0.0,0.0
2627.0,44901,839.0,1202.0,245.0
18674.0,44142,16063.0,785.0,808.0
2267.0,44214,2233.0,5.0,8.0
8777.0,44231,8626.0,20.0,19.0
13166.0,44260,12814.0,2.0,184.0
33894.0,44266,31151.0,1085.0,461.0
5176.0,44272,4790.0,121.0,64.0
7172.0,44273,6850.0,61.0,223.0
1795.0,44276,1701.0,19.0,7.0
7688.0,44287,7369.0,31.0,104.0
29223.0,44146,9570.0,17615.0,1148.0
1110.0,44250,926.0,149.0,0.0
3212.0,44253,3110.0,9.0,53.0
943.0,44308,603.0,191.0,57.0
8447.0,44311,3775.0,3512.0,222.0
3228.0,44402,3154.0,0.0,23.0
1406.0,44427,1390.0,0.0,16.0
16515.0,44123,6843.0,8934.0,283.0
28276.0,44129,24710.0,805.0,1498.0
1803.0,44826,1652.0,0.0,135.0
344.0,44678,344.0,0.0,0.0
45048.0,44691,41271.0,1185.0,817.0
16.0,44816,16.0,0.0,0.0
619.0,44841,597.0,0.0,22.0
3486.0,44846,3125.0,18.0,240.0
43.0,44850,43.0,0.0,0.0
1337.0,44855,1261.0,18.0,13.0
2158.0,44859,2068.0,6.0,50.0
11245.0,44890,9648.0,140.0,1133.0
14354.0,44425,13209.0,578.0,393.0
4777.0,44430,3621.0,935.0,113.0
3938.0,44442,3814.0,11.0,45.0
2877.0,44506,374.0,1051.0,1421.0
5518.0,44612,5422.0,37.0,39.0
10312.0,44615,10102.0,97.0,105.0
4300.0,44438,4038.0,66.0,39.0
5409.0,44507,819.0,3302.0,855.0
21659.0,44514,19888.0,672.0,737.0
21282.0,45322,18193.0,1795.0,517.0
1066.0,45326,1048.0,0.0,15.0
825.0,45332,824.0,0.0,0.0
1368.0,45333,1368.0,0.0,0.0
1385.0,45339,1331.0,1.0,2.0
688.0,45340,688.0,0.0,0.0
6458.0,45345,5886.0,106.0,64.0
1938.0,45346,1885.0,0.0,11.0
242.0,45352,203.0,30.0,5.0
1141.0,45362,1131.0,0.0,0.0
19867.0,45371,18890.0,224.0,221.0
38635.0,45385,32275.0,3939.0,854.0
26638.0,45042,24450.0,685.0,328.0
24836.0,45066,23016.0,383.0,365.0
22397.0,45102,21272.0,188.0,313.0
12382.0,45106,11966.0,281.0,34.0
227.0,45131,208.0,0.0,0.0
3696.0,45142,3538.0,11.0,0.0
865.0,45160,844.0,6.0,15.0
13838.0,45220,8547.0,2299.0,755.0
5771.0,45171,5728.0,0.0,0.0
2350.0,45174,2252.0,3.0,68.0
27778.0,45230,24064.0,1186.0,764.0
5346.0,45226,5007.0,103.0,76.0
18391.0,45227,12240.0,4763.0,316.0
24486.0,45236,17881.0,3639.0,835.0
20193.0,45237,4489.0,14593.0,304.0
21767.0,45255,19457.0,760.0,503.0
130.0,45301,130.0,0.0,0.0
1277.0,45312,1274.0,0.0,3.0
4066.0,45315,3211.0,594.0,43.0
2266.0,45325,2197.0,3.0,14.0
16104.0,45344,14379.0,67.0,1374.0
1026.0,45348,1026.0,0.0,0.0
1938.0,45359,1854.0,0.0,54.0
1698.0,45363,1609.0,10.0,12.0
