tract,state,county,pop_total,pop_white,pop_black,pop_hispanic
301700,36,059,2719.0,2288.0,0.0,97.0
303301,36,059,3056.0,2192.0,1.0,79.0
303400,36,059,2576.0,2069.0,23.0,171.0
303600,36,059,7225.0,4017.0,228.0,2091.0
404500,36,059,3970.0,3164.0,35.0,412.0
407201,36,059,5197.0,20.0,1541.0,3586.0
407301,36,059,7265.0,4535.0,1015.0,902.0
410400,36,059,4932.0,889.0,2150.0,952.0
407502,36,059,5471.0,288.0,2601.0,2343.0
408800,36,059,6724.0,4973.0,139.0,976.0
409700,36,059,4160.0,3536.0,11.0,517.0
518204,36,059,4185.0,3444.0,87.0,72.0
518700,36,059,5812.0,3925.0,20.0,188.0
520501,36,059,3843.0,2926.0,0.0,631.0
521100,36,059,4842.0,4535.0,0.0,285.0
521301,36,059,2101.0,1929.0,11.0,147.0
521802,36,059,4081.0,3524.0,21.0,408.0
409800,36,059,5831.0,305.0,4322.0,500.0
408200,36,059,6289.0,3802.0,68.0,1342.0
408500,36,059,6460.0,5341.0,67.0,547.0
409500,36,059,3814.0,3143.0,0.0,431.0
412100,36,059,6301.0,4999.0,208.0,767.0
411400,36,059,6612.0,5398.0,384.0,611.0
412302,36,059,3624.0,2697.0,200.0,595.0
412500,36,059,4165.0,3968.0,54.0,143.0
413300,36,059,6460.0,5761.0,0.0,544.0
413804,36,059,3720.0,1915.0,1000.0,518.0
414502,36,059,4112.0,2287.0,484.0,964.0
415401,36,059,5353.0,4832.0,18.0,400.0
416500,36,059,6308.0,2596.0,1640.0,1297.0
410900,36,059,6930.0,2103.0,2337.0,926.0
411100,36,059,4394.0,876.0,1234.0,2113.0
411600,36,059,6535.0,6291.0,23.0,84.0
412700,36,059,3915.0,3385.0,143.0,251.0
415000,36,059,5335.0,4648.0,40.0,375.0
413001,36,059,3988.0,3447.0,90.0,273.0
413100,36,059,5151.0,4023.0,65.0,728.0
414501,36,059,5262.0,2660.0,1269.0,1050.0
415300,36,059,6011.0,4908.0,216.0,459.0
416300,36,059,3369.0,3038.0,21.0,224.0
303101,36,059,3594.0,1478.0,95.0,312.0
406202,36,059,6317.0,197.0,4739.0,1023.0
408700,36,059,4848.0,3468.0,1.0,665.0
413500,36,059,7929.0,2510.0,2648.0,2299.0
416201,36,059,3410.0,2578.0,115.0,573.0
517901,36,059,4870.0,4397.0,5.0,275.0
416202,36,059,4807.0,2927.0,12.0,1717.0
414201,36,059,5072.0,786.0,1202.0,2785.0
415102,36,059,4828.0,4450.0,56.0,272.0
416900,36,059,4023.0,3846.0,7.0,145.0
517200,36,059,8078.0,2569.0,1343.0,3200.0
517302,36,059,5210.0,3347.0,121.0,1214.0
519000,36,059,6758.0,3815.0,200.0,1005.0
519300,36,059,5965.0,3016.0,78.0,881.0
519601,36,059,4250.0,3242.0,7.0,138.0
520001,36,059,7228.0,5938.0,2.0,672.0
301500,36,059,2985.0,2544.0,0.0,129.0
302502,36,059,2710.0,1908.0,87.0,53.0
303102,36,059,4074.0,1709.0,0.0,140.0
303202,36,059,4204.0,1629.0,23.0,984.0
407302,36,059,4388.0,747.0,1527.0,1765.0
407401,36,059,6097.0,585.0,2282.0,3205.0
407600,36,059,5471.0,3363.0,72.0,1138.0
407700,36,059,4958.0,3229.0,7.0,1056.0
414301,36,059,4122.0,812.0,1173.0,1765.0
414600,36,059,3728.0,3122.0,154.0,291.0
407402,36,059,3580.0,436.0,1345.0,1441.0
414800,36,059,6676.0,5793.0,92.0,329.0
520600,36,059,5879.0,4187.0,116.0,1070.0
521601,36,059,4148.0,3888.0,20.0,128.0
407802,36,059,1775.0,699.0,647.0,347.0
521000,36,059,4883.0,4543.0,0.0,172.0
519602,36,059,1983.0,1620.0,0.0,30.0
300600,36,059,6380.0,4293.0,38.0,143.0
303700,36,059,7047.0,5582.0,203.0,762.0
406201,36,059,3058.0,964.0,535.0,1299.0
410100,36,059,5762.0,4567.0,357.0,347.0
411902,36,059,3889.0,2929.0,61.0,721.0
416701,36,059,4247.0,3121.0,30.0,840.0
414900,36,059,7133.0,5517.0,89.0,817.0
518300,36,059,5938.0,3893.0,11.0,554.0
413600,36,059,5663.0,2469.0,1116.0,1686.0
519100,36,059,6205.0,3037.0,169.0,806.0
520700,36,059,4975.0,4515.0,157.0,155.0
522000,36,059,6214.0,3030.0,2134.0,827.0
410700,36,059,6158.0,3033.0,1222.0,580.0
412900,36,059,6384.0,1010.0,3876.0,1015.0
413400,36,059,5604.0,4895.0,61.0,535.0
415500,36,059,2517.0,2132.0,29.0,275.0
517301,36,059,3266.0,2029.0,162.0,835.0
520300,36,059,6000.0,5017.0,28.0,573.0
407102,36,059,6883.0,103.0,3720.0,2913.0
518600,36,059,4198.0,2780.0,0.0,59.0
409400,36,059,4184.0,3384.0,50.0,644.0
412200,36,059,5115.0,4422.0,86.0,440.0
414002,36,059,5000.0,29.0,2828.0,2024.0
521400,36,059,6462.0,6004.0,7.0,192.0
301900,36,059,2997.0,2527.0,0.0,54.0
304202,36,059,3870.0,688.0,1047.0,1940.0
406002,36,059,3580.0,2311.0,328.0,489.0
302200,36,059,3921.0,1766.0,419.0,845.0
408400,36,059,3897.0,2854.0,320.0,391.0
408600,36,059,4717.0,3165.0,160.0,960.0
408900,36,059,5960.0,4187.0,72.0,992.0
409600,36,059,5125.0,4304.0,0.0,539.0
410000,36,059,4185.0,1496.0,1059.0,595.0
410300,36,059,6979.0,1408.0,2351.0,1926.0
411301,36,059,3733.0,2803.0,277.0,329.0
411500,36,059,2667.0,2415.0,63.0,61.0
415101,36,059,2522.0,2088.0,195.0,148.0
415402,36,059,4366.0,3929.0,9.0,268.0
415700,36,059,5886.0,5216.0,51.0,487.0
416100,36,059,6312.0,5691.0,3.0,410.0
416600,36,059,5517.0,4512.0,139.0,581.0
517500,36,059,3977.0,3292.0,129.0,240.0
517600,36,059,4983.0,4152.0,117.0,558.0
517802,36,059,3173.0,2561.0,126.0,271.0
517902,36,059,2718.0,2448.0,16.0,140.0
303201,36,059,3877.0,1202.0,199.0,339.0
304100,36,059,4318.0,531.0,1242.0,1995.0
404300,36,059,3233.0,1622.0,46.0,765.0
405000,36,059,5396.0,834.0,1538.0,1619.0
405301,36,059,3854.0,2367.0,169.0,876.0
405500,36,059,5283.0,3763.0,136.0,829.0
406501,36,059,6797.0,5879.0,280.0,362.0
407101,36,059,5319.0,267.0,2880.0,1800.0
407801,36,059,5404.0,3569.0,253.0,688.0
408100,36,059,6434.0,4103.0,73.0,1245.0
408300,36,059,6987.0,4450.0,493.0,766.0
300300,36,059,4163.0,2962.0,82.0,618.0
